韻の踏めない貴方には興味はありません。しかし韻の踏める貴方には興味があります,1
プロのライムとあなたのライム、刀とナイフくらいの差があります,2
時間を見つけて韻を踏みましょう。あらたな言葉に出会える可能性もあります,2
文章の繋がりを意識しなくて結構です。とにかく韻を踏んでみましょう,2
語彙力と韻を踏むスキル。両方鍛えてられるのが本アプリです。,2
韻を踏んでも役には立ちませんが、カッコいい韻は鳥肌が立ちます,3
あなたの踏む韻。粗と見どころが9:1くらいあります。,3
現代人に足りないとされているのは韻と時間です。,3
韻のあるプロポーズ、韻のないプロポーズ、価値あるのどっちかわかるでしょう？,3
ゲームを遊び、作詞にアウトプット。生活にラップを浸透させましょう,4
韻を踏むラッパーなら、今日も韻を踏みましょう,4
食事、呼吸、韻踏。そのレベルにまで到達させるのです,4
韻を踏むことに関しては相当なレベルです。クオリティを見つめ直す時です。,5
一般から見れば貴方はとんでもない。しかしプロから見れば、そうでもない,5
リリックには主張と遊びが必要です。それらを支えるものが語彙です,5
最寄りのサイファーで貴方の韻を披露してみましょう。,6
そろそろ貴方のフリースタイルにも差が出始めてきたでしょう。もっと磨くのみです,6
声の使い方にも意識しましょう。あなたのスキルは披露するべきものです,6
フリースタイルと音源。二足の草鞋が許されるスキルが貴方にはあります,7
韻をリズムのアクセントとして配置することで心地よい旋律を作れます,7
音源に韻のないラップ。にんにくのない餃子です。成り立ちますが足りません。,7
このアプリでここまで韻を踏んだ貴方は、真のRhymerでしょう,8
ラップが好きなのか、韻を踏むのが好きなのか。貴方のことがわからなくなります,8
大文字ライムにも動揺しないあなたの即興が見たいです,8
継続は力なりと言います。これが嘘じゃないなら貴方は相当力をつけているでしょう,9
RHYME KING　王と言われて気は悪くないでしょう？ ,9
王座にいても、渇きを感じる貴方でいてください。,9
RHYME GOD 無神教の私が貴方に神の名を付けたのです,10
神は7日で世界を作りました。その間に貴方は何個韻を踏めるのでしょう？,10
貴方は自分の銅像を作っていいんじゃないでしょうか？？？,10
